t,o,h,l,c,v
2026-04-15T08:00:00Z,259.09,259.1938,258.69,259.09,12453.0
2026-04-15T08:01:00Z,258.99,259.1,258.65,258.74,21968.0
2026-04-15T08:03:00Z,258.78,258.78,258.78,258.78,576.0
2026-04-15T08:04:00Z,258.71,258.71,258.7,258.7,944.0
2026-04-15T08:06:00Z,258.75,258.83,258.75,258.83,1158.0
2026-04-15T08:07:00Z,258.85,258.86,258.82,258.83,1463.0
2026-04-15T08:12:00Z,258.83,258.83,258.83,258.83,1201.0
2026-04-15T08:15:00Z,258.85,258.85,258.85,258.85,291.0
2026-04-15T08:16:00Z,258.86,258.86,258.86,258.86,520.0
2026-04-15T08:17:00Z,258.86,258.86,258.86,258.86,535.0
2026-04-15T08:27:00Z,258.9003,258.9003,258.9003,258.9003,145.0
2026-04-15T08:29:00Z,258.93,258.97,258.93,258.96,619.0
2026-04-15T08:30:00Z,258.93,258.93,258.93,258.93,723.0
2026-04-15T08:31:00Z,258.89,258.89,258.89,258.89,1401.0
2026-04-15T08:33:00Z,258.89,259.0,258.89,258.99,2344.0
2026-04-15T08:34:00Z,258.91,259.19,258.91,259.19,365.0
2026-04-15T08:35:00Z,259.11,259.11,259.11,259.11,747.0
2026-04-15T08:36:00Z,258.98,258.98,258.98,258.98,589.0
2026-04-15T08:39:00Z,259.0,259.0,259.0,259.0,1443.0
2026-04-15T08:41:00Z,258.96,258.96,258.96,258.96,724.0
2026-04-15T08:43:00Z,258.96,258.96,258.96,258.96,353.0
2026-04-15T08:45:00Z,258.99,258.99,258.95,258.95,2168.0
2026-04-15T08:47:00Z,258.85,258.86,258.85,258.85,1192.0
2026-04-15T08:51:00Z,258.95,258.95,258.95,258.95,1819.0
2026-04-15T08:54:00Z,258.99,258.99,258.99,258.99,1218.0
2026-04-15T09:04:00Z,258.987,258.987,258.987,258.987,325.0
2026-04-15T09:05:00Z,258.9154,258.9154,258.9154,258.9154,855.0
2026-04-15T09:08:00Z,258.75,258.75,258.75,258.75,617.0
2026-04-15T09:11:00Z,258.77,258.77,258.76,258.76,735.0
2026-04-15T09:12:00Z,258.9,258.9,258.9,258.9,445.0
2026-04-15T09:14:00Z,258.8,258.8,258.8,258.8,1878.0
2026-04-15T09:16:00Z,258.84,258.84,258.84,258.84,316.0
2026-04-15T09:17:00Z,258.87,258.87,258.87,258.87,607.0
2026-04-15T09:18:00Z,258.85,258.86,258.85,258.86,389.0
2026-04-15T09:19:00Z,258.9,258.9,258.9,258.9,5181.0
2026-04-15T09:20:00Z,258.94,258.94,258.87,258.87,1522.0
2026-04-15T09:25:00Z,258.85,258.85,258.83,258.83,829.0
2026-04-15T09:27:00Z,258.81,258.81,258.75,258.75,1516.0
2026-04-15T09:33:00Z,258.8,258.8,258.8,258.8,747.0
2026-04-15T09:38:00Z,258.81,258.85,258.81,258.85,1152.0
2026-04-15T09:39:00Z,258.82,258.82,258.8,258.8,2021.0
2026-04-15T09:40:00Z,258.85,258.85,258.85,258.85,413.0
2026-04-15T09:46:00Z,258.9,258.9,258.9,258.9,642.0
2026-04-15T09:48:00Z,258.9,258.9,258.8927,258.8927,221.0
2026-04-15T09:50:00Z,258.88,258.88,258.82,258.82,450.0
2026-04-15T09:54:00Z,258.86,258.86,258.86,258.86,154.0
2026-04-15T09:58:00Z,258.8,258.82,258.8,258.82,1506.0
2026-04-15T10:02:00Z,258.93,258.93,258.93,258.93,1285.0
2026-04-15T10:05:00Z,258.87,258.87,258.87,258.87,156.0
2026-04-15T10:06:00Z,258.89,258.9,258.89,258.9,536.0
2026-04-15T10:10:00Z,258.89,258.89,258.89,258.89,223.0
2026-04-15T10:16:00Z,258.78,258.78,258.69,258.7,5433.0
2026-04-15T10:17:00Z,258.6559,258.7,258.6559,258.7,2714.0
2026-04-15T10:22:00Z,258.65,258.65,258.62,258.62,1537.0
2026-04-15T10:31:00Z,258.73,258.74,258.6,258.6235,2942.0
2026-04-15T10:32:00Z,258.65,258.65,258.65,258.65,129.0
2026-04-15T10:33:00Z,258.63,258.7,258.63,258.7,790.0
2026-04-15T10:35:00Z,258.63,258.63,258.63,258.63,273.0
2026-04-15T10:37:00Z,258.5366,258.5366,258.5366,258.5366,529.0
2026-04-15T10:38:00Z,258.65,258.65,258.65,258.65,355.0
2026-04-15T10:40:00Z,258.65,258.65,258.64,258.64,792.0
2026-04-15T10:41:00Z,258.7,258.78,258.7,258.78,656.0
2026-04-15T10:47:00Z,258.9,258.9,258.9,258.9,305.0
2026-04-15T10:48:00Z,258.81,258.81,258.81,258.81,308.0
2026-04-15T10:49:00Z,258.8094,258.8094,258.8094,258.8094,173.0
2026-04-15T10:56:00Z,258.8,258.8,258.8,258.8,559.0
2026-04-15T11:00:00Z,258.8,258.83,258.7,258.737,3800.0
2026-04-15T11:01:00Z,258.7351,258.75,258.69,258.75,1730.0
2026-04-15T11:02:00Z,258.8,259.0,258.8,259.0,11505.0
2026-04-15T11:03:00Z,258.985,259.0,258.85,258.8592,1237.0
2026-04-15T11:04:00Z,258.89,258.9,258.7,258.7,1185.0
2026-04-15T11:05:00Z,258.94,258.94,258.94,258.94,331.0
2026-04-15T11:06:00Z,258.8,258.8,258.8,258.8,3445.0
2026-04-15T11:10:00Z,258.89,258.89,258.89,258.89,684.0
2026-04-15T11:11:00Z,258.89,258.9,258.89,258.9,609.0
2026-04-15T11:12:00Z,258.8605,258.8605,258.8605,258.8605,439.0
2026-04-15T11:13:00Z,258.86,258.86,258.85,258.85,1771.0
2026-04-15T11:14:00Z,258.9,258.9,258.9,258.9,597.0
2026-04-15T11:15:00Z,258.9,258.9,258.9,258.9,137.0
2026-04-15T11:17:00Z,258.72,258.72,258.72,258.72,634.0
2026-04-15T11:18:00Z,258.7,258.76,258.7,258.7,1890.0
2026-04-15T11:19:00Z,258.6469,258.6469,258.6469,258.6469,528.0
2026-04-15T11:20:00Z,258.6501,258.6617,258.6501,258.6617,847.0
2026-04-15T11:21:00Z,258.73,258.73,258.7256,258.7256,973.0
2026-04-15T11:23:00Z,258.71,258.71,258.71,258.71,704.0
2026-04-15T11:25:00Z,258.71,258.72,258.65,258.72,1957.0
2026-04-15T11:27:00Z,258.75,258.75,258.75,258.75,210.0
2026-04-15T11:28:00Z,258.73,258.73,258.7,258.7,2902.0
2026-04-15T11:29:00Z,258.83,258.83,258.83,258.83,334.0
2026-04-15T11:30:00Z,258.77,258.83,258.77,258.83,1352.0
2026-04-15T11:31:00Z,258.77,258.77,258.77,258.77,312.0
2026-04-15T11:32:00Z,258.7,258.7,258.7,258.7,690.0
2026-04-15T11:33:00Z,258.7108,258.8461,258.65,258.65,2234.0
2026-04-15T11:36:00Z,258.8,258.8,258.8,258.8,418.0
2026-04-15T11:38:00Z,258.8,258.8,258.8,258.8,294.0
2026-04-15T11:40:00Z,258.79,258.8,258.67,258.67,2000.0
2026-04-15T11:41:00Z,258.6984,258.7,258.65,258.65,2096.0
2026-04-15T11:42:00Z,258.6,258.6,258.59,258.6,2365.0
2026-04-15T11:43:00Z,258.59,258.6,258.57,258.57,960.0
2026-04-15T11:44:00Z,258.57,258.57,258.5687,258.57,1174.0
2026-04-15T11:45:00Z,258.596,258.596,258.596,258.596,535.0
2026-04-15T11:46:00Z,258.6,258.835,258.55,258.55,10348.0
2026-04-15T11:47:00Z,258.52,258.52,258.48,258.48,3443.0
2026-04-15T11:48:00Z,258.58,258.58,258.58,258.58,373.0
2026-04-15T11:49:00Z,258.5475,258.6,258.54,258.6,1208.0
2026-04-15T11:50:00Z,258.6,258.6,258.6,258.6,641.0
2026-04-15T11:51:00Z,258.5,258.6,258.5,258.5,3286.0
2026-04-15T11:53:00Z,258.55,258.55,258.5,258.55,3551.0
2026-04-15T11:54:00Z,258.52,258.55,258.48,258.48,1544.0
2026-04-15T11:55:00Z,258.5,258.51,258.43,258.43,1458.0
2026-04-15T11:57:00Z,258.49,258.49,258.3763,258.3894,2877.0
2026-04-15T11:58:00Z,258.34,258.36,258.26,258.26,3277.0
2026-04-15T11:59:00Z,258.38,258.4,258.37,258.37,1072.0
2026-04-15T12:00:00Z,258.3482,258.4,258.3482,258.4,1593.0
2026-04-15T12:01:00Z,258.33,258.33,258.25,258.25,2621.0
2026-04-15T12:02:00Z,258.4,258.4,258.3,258.3,720.0
2026-04-15T12:03:00Z,258.31,258.39,258.3,258.32,2344.0
2026-04-15T12:04:00Z,258.38,258.394,258.38,258.394,835.0
2026-04-15T12:05:00Z,258.3,258.3,258.25,258.25,2351.0
2026-04-15T12:06:00Z,258.3,258.31,258.3,258.3,869.0
2026-04-15T12:07:00Z,258.37,258.4,258.37,258.37,1063.0
2026-04-15T12:08:00Z,258.39,258.3989,258.39,258.3989,433.0
2026-04-15T12:09:00Z,258.4,258.4,258.4,258.4,507.0
2026-04-15T12:11:00Z,258.4,258.4,258.3,258.3,1756.0
2026-04-15T12:13:00Z,258.2223,258.3049,258.2223,258.3049,858.0
2026-04-15T12:14:00Z,258.34,258.34,258.34,258.34,573.0
2026-04-15T12:15:00Z,258.3399,258.3399,258.3399,258.3399,1159.0
2026-04-15T12:16:00Z,258.33,258.33,258.31,258.31,955.0
2026-04-15T12:17:00Z,258.375,258.4,258.307,258.307,1602.0
2026-04-15T12:18:00Z,258.4,258.4,258.32,258.32,873.0
2026-04-15T12:19:00Z,258.4,258.4,258.4,258.4,527.0
2026-04-15T12:20:00Z,258.38,258.38,258.38,258.38,418.0
2026-04-15T12:21:00Z,258.3735,258.3735,258.3735,258.3735,321.0
2026-04-15T12:23:00Z,258.34,258.34,258.34,258.34,245.0
2026-04-15T12:24:00Z,258.32,258.32,258.32,258.32,331.0
2026-04-15T12:25:00Z,258.36,258.36,258.36,258.36,590.0
2026-04-15T12:26:00Z,258.3,258.34,258.3,258.34,2102.0
2026-04-15T12:27:00Z,258.38,258.38,258.36,258.36,879.0
2026-04-15T12:28:00Z,258.3909,258.3909,258.3909,258.3909,513.0
2026-04-15T12:29:00Z,258.38,258.38,258.38,258.38,249.0
2026-04-15T12:31:00Z,258.38,258.4,258.375,258.4,3150.0
2026-04-15T12:32:00Z,258.4,258.4,258.4,258.4,992.0
2026-04-15T12:33:00Z,258.4,258.4,258.4,258.4,489.0
2026-04-15T12:34:00Z,258.37,258.37,258.37,258.37,964.0
2026-04-15T12:35:00Z,258.4,258.4,258.36,258.38,3374.0
2026-04-15T12:36:00Z,258.35,258.35,258.33,258.33,868.0
2026-04-15T12:37:00Z,258.3349,258.3349,258.3349,258.3349,342.0
2026-04-15T12:38:00Z,258.4,258.4,258.3408,258.3408,1242.0
2026-04-15T12:40:00Z,258.38,258.39,258.37,258.37,1186.0
2026-04-15T12:41:00Z,258.33,258.37,258.33,258.35,1792.0
2026-04-15T12:42:00Z,258.3799,258.38,258.32,258.32,810.0
2026-04-15T12:43:00Z,258.36,258.4,258.36,258.37,1382.0
2026-04-15T12:44:00Z,258.3621,258.4,258.3621,258.3981,1184.0
2026-04-15T12:46:00Z,258.36,258.4,258.36,258.4,2949.0
2026-04-15T12:47:00Z,258.4,258.4,258.39,258.4,715.0
2026-04-15T12:48:00Z,258.4,258.4,258.39,258.4,1287.0
2026-04-15T12:49:00Z,258.38,258.4,258.36,258.4,998.0
2026-04-15T12:50:00Z,258.3919,258.3919,258.3919,258.3919,236.0
2026-04-15T12:51:00Z,258.38,258.38,258.36,258.36,898.0
2026-04-15T12:52:00Z,258.4,258.4,258.39,258.3996,3136.0
2026-04-15T12:53:00Z,258.38,258.38,258.38,258.38,666.0
2026-04-15T12:54:00Z,258.4,258.4,258.3942,258.3942,982.0
2026-04-15T12:55:00Z,258.39,258.4,258.39,258.4,1410.0
2026-04-15T12:56:00Z,258.38,258.38,258.37,258.37,2600.0
2026-04-15T12:57:00Z,258.3837,258.39,258.3837,258.39,950.0
2026-04-15T12:58:00Z,258.4,258.4,258.385,258.39,1127.0
2026-04-15T12:59:00Z,258.37,258.37,258.36,258.37,2064.0
2026-04-15T13:00:00Z,258.37,258.392,258.33,258.392,2960.0
2026-04-15T13:01:00Z,258.3782,258.3782,258.36,258.37,1741.0
2026-04-15T13:02:00Z,258.33,258.33,258.32,258.32,719.0
2026-04-15T13:03:00Z,258.32,258.4,258.32,258.3981,4355.0
2026-04-15T13:04:00Z,258.4,258.41,258.4,258.4,2172.0
2026-04-15T13:05:00Z,258.36,258.4,258.36,258.36,1193.0
2026-04-15T13:06:00Z,258.36,258.4,258.36,258.4,2085.0
2026-04-15T13:07:00Z,258.36,258.3986,258.36,258.3986,839.0
2026-04-15T13:08:00Z,258.4,258.4,258.35,258.35,755.0
2026-04-15T13:09:00Z,258.39,258.39,258.19,258.2,8631.0
2026-04-15T13:10:00Z,258.2,258.2,258.2,258.2,861.0
2026-04-15T13:11:00Z,258.2,258.2,258.17,258.18,7251.0
2026-04-15T13:12:00Z,258.17,258.17,258.05,258.16,8779.0
2026-04-15T13:13:00Z,258.0162,258.0162,258.0162,258.0162,327.0
2026-04-15T13:14:00Z,258.05,258.157,258.05,258.1281,1807.0
2026-04-15T13:15:00Z,258.1026,258.1546,258.1026,258.15,1936.0
2026-04-15T13:16:00Z,258.1574,258.1574,258.13,258.14,3884.0
2026-04-15T13:17:00Z,258.16,258.16,258.13,258.13,1764.0
2026-04-15T13:18:00Z,258.14,258.14,258.1,258.1237,1192.0
2026-04-15T13:19:00Z,258.16,258.17,258.1302,258.1302,3909.0
2026-04-15T13:20:00Z,258.16,258.17,258.16,258.17,1131.0
2026-04-15T13:21:00Z,258.19,258.2613,258.19,258.25,786.0
2026-04-15T13:22:00Z,258.2521,258.3,258.25,258.3,1809.0
2026-04-15T13:23:00Z,258.27,258.3,258.25,258.3,4323.0
2026-04-15T13:24:00Z,258.3469,258.35,258.3,258.34,2350.0
2026-04-15T13:25:00Z,258.38,258.6,258.38,258.6,23106.0
2026-04-15T13:26:00Z,258.67,258.68,258.58,258.58,3217.0
2026-04-15T13:27:00Z,258.47,258.47,257.93,258.22,16118.0
2026-04-15T13:28:00Z,258.26,258.28,258.0,258.02,5863.0
2026-04-15T13:29:00Z,258.03,258.13,258.01,258.09,5331.0
2026-04-15T13:30:00Z,258.04,259.3,257.81,259.25,820729.0
2026-04-15T13:31:00Z,259.2699,259.98,259.15,259.7125,344593.0
2026-04-15T13:32:00Z,259.675,259.95,259.64,259.81,174082.0
2026-04-15T13:33:00Z,259.78,259.85,259.0801,259.26,145353.0
2026-04-15T13:34:00Z,259.24,259.92,259.24,259.63,191517.0
2026-04-15T13:35:00Z,259.63,259.92,259.39,259.84,153318.0
2026-04-15T13:36:00Z,259.84,260.02,259.59,259.936,211007.0
2026-04-15T13:37:00Z,259.905,260.08,259.56,259.89,194886.0
2026-04-15T13:38:00Z,259.86,260.13,259.7802,260.13,136696.0
2026-04-15T13:39:00Z,260.12,260.3,260.02,260.115,158736.0
2026-04-15T13:40:00Z,260.1287,260.2,259.47,259.5,166679.0
2026-04-15T13:41:00Z,259.475,259.865,259.4651,259.69,124096.0
2026-04-15T13:42:00Z,259.67,259.74,259.2,259.225,188942.0
2026-04-15T13:43:00Z,259.22,259.26,258.7,258.81,142177.0
2026-04-15T13:44:00Z,258.835,258.948,258.47,258.545,150928.0
2026-04-15T13:45:00Z,258.545,258.89,258.515,258.665,212512.0
2026-04-15T13:46:00Z,258.665,258.7,258.51,258.65,100028.0
2026-04-15T13:47:00Z,258.64,258.78,258.53,258.62,99938.0
2026-04-15T13:48:00Z,258.6293,258.6293,258.11,258.19,132012.0
2026-04-15T13:49:00Z,258.18,258.18,257.83,258.026,131471.0
2026-04-15T13:50:00Z,258.02,258.31,258.02,258.27,97523.0
2026-04-15T13:51:00Z,258.25,258.55,258.25,258.4686,83840.0
2026-04-15T13:52:00Z,258.45,258.45,258.22,258.3399,69640.0
2026-04-15T13:53:00Z,258.32,258.4709,258.2402,258.41,91171.0
2026-04-15T13:54:00Z,258.3793,258.3793,258.26,258.35,49042.0
2026-04-15T13:55:00Z,258.36,258.76,258.36,258.6801,106491.0
2026-04-15T13:56:00Z,258.67,258.77,258.57,258.755,66453.0
2026-04-15T13:57:00Z,258.74,258.87,258.68,258.865,109695.0
2026-04-15T13:58:00Z,258.85,258.93,258.7407,258.9,78677.0
2026-04-15T13:59:00Z,258.905,258.96,258.59,258.66,195801.0
2026-04-15T14:00:00Z,258.64,258.84,258.5998,258.74,109425.0
2026-04-15T14:01:00Z,258.78,259.17,258.78,259.145,140469.0
2026-04-15T14:02:00Z,259.13,259.26,259.11,259.21,87566.0
2026-04-15T14:03:00Z,259.23,259.25,259.085,259.2,45153.0
2026-04-15T14:04:00Z,259.2,259.21,259.07,259.1,52572.0
2026-04-15T14:05:00Z,259.08,259.2,259.05,259.16,46024.0
2026-04-15T14:06:00Z,259.18,259.37,259.15,259.35,71555.0
2026-04-15T14:07:00Z,259.35,259.4299,259.17,259.2151,89715.0
2026-04-15T14:08:00Z,259.2107,259.44,259.195,259.44,62676.0
2026-04-15T14:09:00Z,259.42,259.57,259.395,259.45,64798.0
2026-04-15T14:10:00Z,259.44,259.65,259.345,259.62,74863.0
2026-04-15T14:11:00Z,259.6001,259.7299,259.55,259.685,124484.0
2026-04-15T14:12:00Z,259.7,259.96,259.7,259.86,98571.0
2026-04-15T14:13:00Z,259.855,260.06,259.8301,259.995,168936.0
2026-04-15T14:14:00Z,259.99,260.16,259.9544,260.1599,159476.0
2026-04-15T14:15:00Z,260.17,260.72,260.17,260.69,243530.0
2026-04-15T14:16:00Z,260.6831,261.04,260.65,260.95,237208.0
2026-04-15T14:17:00Z,260.95,260.95,260.705,260.85,179401.0
2026-04-15T14:18:00Z,260.86,260.8699,260.6,260.7,116032.0
2026-04-15T14:19:00Z,260.695,260.91,260.66,260.85,126721.0
2026-04-15T14:20:00Z,260.85,260.95,260.6101,260.676,105499.0
2026-04-15T14:21:00Z,260.63,260.72,260.55,260.6413,65898.0
2026-04-15T14:22:00Z,260.655,260.73,260.51,260.53,77863.0
2026-04-15T14:23:00Z,260.53,260.55,260.3,260.31,117801.0
2026-04-15T14:24:00Z,260.32,260.64,260.314,260.55,74942.0
2026-04-15T14:25:00Z,260.565,260.6398,260.52,260.61,111673.0
2026-04-15T14:26:00Z,260.61,260.65,260.375,260.43,55576.0
2026-04-15T14:27:00Z,260.42,260.59,260.4,260.54,55336.0
2026-04-15T14:28:00Z,260.53,260.59,260.425,260.54,44370.0
